PERFORMANCE,DATE,Show Start Time ,PERFORMANCE_LOCATION
Premier League Football,01/04/2017,13:00:00,THE FUNHAUS
Pump Up Get Wicked,01/04/2017,20:30:00,THE FUNHAUS
Hutch,01/04/2017,22:00:00,THE FUNHAUS
Get Low,02/04/2017,13:00:00,THE FUNHAUS
Kristy Harper,02/04/2017,14:30:00,THE FUNHAUS
Hutch,02/04/2017,16:30:00,THE FUNHAUS
BANG BANG PRESENTS: MEGA VIBES AT THE MEGA BOSH,02/04/2017,18:00:00,THE FUNHAUS
Pat Sharp (DJ Set),02/04/2017,21:00:00,THE FUNHAUS
Muzik Residents,02/04/2017,22:00:00,THE BRÜCK�N STADL
FUTURE FLEX,02/04/2017,23:00:00,THE FUNHAUS
Huxley,02/04/2017,23:30:00,THE BRÜCK�N STADL
Get Low,03/04/2017,00:00:00,The Arena
Preditah,03/04/2017,01:00:00,The Arena
Waze & Odyssey,03/04/2017,01:30:00,THE BRÜCK�N STADL
Mike Skinner,03/04/2017,02:15:00,The Arena
Doorly,03/04/2017,03:00:00,THE BRÜCK�N STADL
Mistajam,03/04/2017,03:30:00,The Arena
Heels & Souls,03/04/2017,12:00:00,THE FUNHAUS
Bang Bang Presents: Musical Game of Thrones,03/04/2017,13:00:00,THE FUNHAUS
Kreature,03/04/2017,16:00:00,THE FUNHAUS
Bongo's Bingo,03/04/2017,17:30:00,THE FUNHAUS
North Base,03/04/2017,21:00:00,THE RACKET CLUB
Anna Wall,03/04/2017,22:00:00,THE BRÜCK�N STADL
GIGGS,03/04/2017,23:00:00,THE RACKET CLUB
We Go Bang Bang,03/04/2017,23:00:00,THE FUNHAUS
Butch,03/04/2017,23:30:00,THE BRÜCK�N STADL
David Rodigan,03/04/2017,23:30:00,THE RACKET CLUB
Flux Residents,04/04/2017,00:00:00,The Arena
Denis Sulta,04/04/2017,00:45:00,The Arena
RUN THE JEWELS,04/04/2017,01:00:00,THE RACKET CLUB
Hot Since 82,04/04/2017,01:30:00,THE BRÜCK�N STADL
Artwork,04/04/2017,02:00:00,The Arena
DJ Zinc (Trust Me I Was There Set),04/04/2017,02:00:00,THE RACKET CLUB
Citizenn,04/04/2017,03:30:00,The Arena
Cassy,04/04/2017,04:00:00,THE BRÜCK�N STADL
Toni Varga,04/04/2017,16:00:00,THE STREET PARTY
Richy Ahmed,04/04/2017,17:30:00,THE STREET PARTY
BANG BANG PRESENTS: BIG BEAT BATTLE ROYAL,04/04/2017,19:00:00,THE FUNHAUS
Eats Everything,04/04/2017,19:00:00,THE STREET PARTY
Apexape,04/04/2017,21:00:00,THE RACKET CLUB
Lele Sacchi,04/04/2017,22:00:00,THE BRÜCK�N STADL
Noasis,04/04/2017,22:00:00,THE FUNHAUS
Grandmaster Flash,04/04/2017,23:00:00,THE RACKET CLUB
