Row Labels,Sum of UNIT_PRICE_GBP
E00401503E13F7EF,12.92
E00401503E13F7FA,53.37
E00401503E13F92D,8.14
E00401503E13FCE9,49.56
E00401503E13FE22,23.45
E00401503E13FF24,44.25
E00401503E140058,99.82
E00401503E140063,90.8
E00401503E1401BD,39.11
E00401503E1401C8,71.51
E00401503E1402F3,115.76
E00401503E140404,63.63
E00401503E14053A,156.26
E00401503E14067C,116.46
E00401503E14069D,63.72
E00401503E1407B7,97.33
E00401503E1407D5,37.92
E00401503E1408DF,32.83
E00401503E1408EC,21.05
E00401503E1408F7,136.68
E00401503E140A15,127.27
E00401503E140A16,132.74
E00401503E140A1F,193.61
E00401503E140A28,151.06
E00401503E140B67,117.09
E00401503E140B88,20.88
E00401503E140C9A,191.13
E00401503E140CC3,30
E00401503E140DC7,281.67
E00401503E140DC8,122.88
E00401503E140DD4,159.59
E00401503E140DDF,65.7
E00401503E140F05,37.71
E00401503E140F06,21.85
E00401503E140F19,44.32
E00401503E140FCA,128.9
E00401503E140FCB,36.28
E00401503E140FD0,50
E00401503E141079,216.41
E00401503E141088,92.02
E00401503E1410A1,63.89
E00401503E14112B,129.13
E00401503E14112C,127.95
E00401503E141133,35.75
E00401503E1411DD,101.15
E00401503E1411DE,222.19
E00401503E1411ED,52.94
E00401503E141DCD,49.74
E00401503E1423AF,16.11
E00401503E142766,51.77
E00401503E142771,19.01
E00401503E1428A5,8.5
E00401503E142C38,60.18
E00401503E142D6B,16.41
E00401503E142D71,124.12
E00401503E142E27,156.01
E00401503E142E57,134.76
E00401503E142E58,200.36
E00401503E142E62,113.42
E00401503E142E63,272.99
E00401503E142F58,56.02
E00401503E142F8E,432.03
E00401503E142F8F,204.63
E00401503E1430F3,92.56
E00401503E1430FE,122.62
E00401503E143224,21.86
E00401503E14322A,86.28
E00401503E1432E8,11.5
E00401503E143326,146.8
E00401503E143327,225.28
E00401503E14332D,273.37
E00401503E143424,52.03
E00401503E14345D,110.94
E00401503E14345E,155.19
E00401503E143716,77.25
E00401503E143805,287.6
E00401503E143808,89.96
E00401503E14380F,199.89
E00401503E143810,402.01
E00401503E143811,130.56
E00401503E1438FD,77.07
E00401503E14393A,138.48
E00401503E14393B,62.31
E00401503E143944,73.8
E00401503E143CC1,106.62
E00401503E143CC2,121.12
E00401503E143CC9,34.08
E00401503E143CCC,15.3
E00401503E143DED,237.23
E00401503E143DEE,43.09
E00401503E143DF1,168.39
E00401503E143DF2,342.01
E00401503E143F0F,139.34
E00401503E144035,62.56
E00401503E144102,67.69
E00401503E144103,24.52
E00401503E144106,86.79
E00401503E144196,87.86
E00401503E144199,161.91
E00401503E144220,117.95
E00401503E1442B6,168.23
E00401503E1442B7,291.45
E00401503E1442BC,153.69
E00401503E14441F,20
E00401503E14455D,44.77
E00401503E144684,37
E00401503E14468C,10.18
E00401503E1447CA,74.06
E00401503E144914,32.65
E00401503E144A45,52.38
E00401503E144B5E,120.75
E00401503E144C8B,14.42
E00401503E144FF2,18.23
E00401503E145120,41.31
E00401503E1454AC,125.91
E00401503E1455DA,76.82
E00401503E145984,18.13
E00401503E145AC3,140.88
E00401503E145E54,126.04
E00401503E145E5F,279.09
E00401503E145F83,59.01
E00401503E145F8E,24.51
E00401503E146311,145.75
E00401503E14643E,195.76
E00401503E1467DC,178.44
E00401503E1467EA,200
E00401503E14691E,19.83
E00401503E146929,50.02
E00401503E146B88,5
E00401503E146DE9,131.41
E00401503E146F16,64.17
E00401503E1473BF,36.02
E0040150681971C6,63.78
E0040150681972F2,66.55
E00401506819767C,15.13
E0040150681977A4,144.19
E004015068197B20,139.12
E004015068197B2B,175.3
E004015068197C4C,61.94
E004015068197C57,245.44
E004015068197FFF,121.4
E0040150681984C1,154.05
E0040150681985F0,155.92
E00401506819897D,204.19
